animeTitle	Seishain Cyborg 003
animeType	ONA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.33
animeUsers	176
animeRank	
animePopularity	12315
animeDescription	A collaboration between 009 Re:Cyborg and Staff Service, featuring Cyborg 003 as a businesswoman.
animeRelated	['009 Re:Cyborg']
animeCharacters	['Arnoul, Françoise']
animeVoices	[]
animeStaff	[['Ishii, Tomohiko', 'Producer'], ['Kamiyama, Kenji', 'Director, Planning'], ['Asou, Gatou', 'Character Design'], ['Katayama, Yumiko', 'Color Design']]
