animeTitle	b'Kakusansei Million Arthur'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	230
animeRank	
animePopularity	
animeDescription	"b""The animated opening for Square Enix's Kakusansei Million Arthur RPG mobile card game launched for iOS on April 9, 2012 and for Android on May 24, 2012. The mobile game was terminated on March 30, 2015."""
animeRelated	[b'Kakusansei Million Arthur: Gunjou no Sorcery Lord', b'Jakusansei Million Arthur', b'Kairisei Million Arthur', b'Koukyousei Million Arthur', b'Hangyakusei Million Arthur PV']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
