animeTitle	Loveless
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	62341
animeRank	
animePopularity	1327
animeDescription	"In the world of Loveless, each person is born with cat ears and a tail, which disappear only if that person engages in a sexual intercourse. Because of this, they have come to symbolize virginity and innocence. Additionally, fighting is only done by ""fighting pairs"" or couples, where one is known as the Sacrifice and the other as the Fighter. The first receives the damage while the latter attacks.

Ritsuka Aoyagi is a 12-year-old boy, who for some unknown reason suffers from amnesia. His brother got killed recently, and as if his life has not been hard enough lately, on his first day at the new school he gets approached by a stranger called Agatsuma Soubi, who claims to have known his late brother. Ritsuka finds out that Agatsuma and his brother used to be a fighting pair, and that Agatsuma has inherited Ritsuga now that his brother is gone. Together, they try to find the truth behind his brother's death and the organization known as the ""Seven Moons,"" which may have been responsible for it. All the while, it seems that Ritsuka and Agatsuma are becoming closer than they intended to be…"
animeRelated	['Loveless', 'Loveless Specials']
animeCharacters	['Aoyagi, Ritsuka', 'Agatsuma, Soubi', 'Sagan, Natsuo', 'Aoyagi, Seimei', 'Sagan, Youji', 'Kaidou, Kio', 'Nakano, Yamato', 'Sakagami, Kouya', 'Minami, Ritsu', 'Hawatari, Yuiko']
animeVoices	['Minagawa, Junko', 'Konishi, Katsuyuki', 'Saiga, Mitsuki', 'Narita, Ken', 'Yoshino, Hiroyuki', 'Takeuchi, Ken', 'Kakazu, Yumi', 'Kugimiya, Rie', 'Koyasu, Takehito', 'Ueda, Kana']
animeStaff	[['Kou, Yuu', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Andou, Ken', 'Episode Director'], ['Kajiura, Yuki', 'Theme Song Lyrics']]
