animeTitle	Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	158
animeRank	
animePopularity	12237
animeDescription	"A fun day at the amusement park is interrupted when the evil witch Dana is reawakened. Queen Yae has sent her after Rika and only the Doll Knights can stop this threat. Meanwhile, Dai and the others must deal with other dangers. 

(Source: ANN)"
animeRelated	['Super Doll Licca-chan']
animeCharacters	['Doll Licca', 'Kayama, Licca', 'Dana', 'Doll Izumi', 'Doll Isamu', 'Catherine', 'Kayama, Nanae', 'Takabayashi, Dai', 'Shinohara, Sumire']
animeVoices	['Sakurai, Tomo', 'Kouno, Yuka', 'Neya, Michiko', 'Itou, Kentarou', 'Komiya, Kazue', 'Mita, Yuuko', 'Kawakami, Miyuu']
animeStaff	[['Sugii, Gisaburou', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Minakami, Seishi', 'Script'], ['Ishii, Yuriko', 'In-Between Animation']]
