animeTitle	Sobakasu
animeType	Music
animeNumEpisode	1
releaseDate	2015-08-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	760
animeRank	
animePopularity	9845
animeDescription	"Music video for Lon's cover of Sobakasu by the band Judy and Mary. The original song was the 1st opening theme song to Rurouni Kenshin. Lon's cover was in honor of their ""Lon Kaba－J-POP ZOO－"" album going on sale the following day."
animeRelated	['Rurouni Kenshin: Meiji Kenkaku Romantan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
