animeTitle	Kaijuu ga Yattekuru
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16781
animeDescription	"Animals at a zoo hear that a kaijuu is coming. Like a game of ""Telephone"" they hear bits and pieces of what the kaijuu looks like which gets distorted each time the information is passed on. In the end, it was just a normal zoo animal joining the exhibits."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
