animeTitle	Mitaiken Horizon
animeType	Music
animeNumEpisode	1
releaseDate	2019-09-25 00:00:00
endDate	
animeNumMembers	2915
animeScore	7.24
animeUsers	1085
animeRank	2698
animePopularity	8466
animeDescription	Music video included with the fourth single for the Love Live! Sunshine!! anime idol group Aqours.
animeRelated	['Kimi no Kokoro wa Kagayaiteru kai?', 'Koi ni Naritai Aquarium', 'Happy Party Train', 'Dazzling White Town', 'Love Live! Sunshine!!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
