animeTitle	White Album 2
animeType	TV
animeNumEpisode	13
releaseDate	2013-10-06 00:00:00
endDate	2013-12-29 00:00:00
animeNumMembers	
animeScore	7.66
animeUsers	95075
animeRank	
animePopularity	831
animeDescription	"Haruki Kitahara's light music club is on the verge of disbanding. At this rate, the third year's dream of performing at the school festival would never be realized. However, as his exhausted fingers drift through the chords of ""White Album,"" the first song he would ever play, an angelic voice and mysterious piano begin harmonizing with his lonely guitar. It is a momentous performance that marks the beginning of everything for Haruki.

White Album 2 orchestrates Haruki's final semester with complex romance and exhilarating music, as the curtains of the stage he so desired begin to open...

[Written by MAL Rewrite]"
animeRelated	['White Album 2: Yuki ga Tsumugu Senritsu', 'White Album 2', 'White Album', 'White Album 2 Picture Drama']
animeCharacters	['Touma, Kazusa', 'Ogiso, Setsuna', 'Kitahara, Haruki', 'Iizuka, Takeya', 'Mizusawa, Io', 'Touma, Youko', 'Ogiso, Takahiro', 'Ogiso, Susumu', 'Ogiso, Akina', 'Hayasaka, Chikashi']
animeVoices	['Nabatame, Hitomi', 'Yonezawa, Madoka', 'Mizushima, Takahiro', 'Terashima, Takuma', 'Nakagami, Ikumi', 'Natsuki, Rio', 'Kaji, Yuki', 'Mogami, Tsuguo', 'Ono, Ryouko', 'Sugiyama, Noriaki']
animeStaff	[['Andou, Masaomi', 'Director'], ['Numata, Seiya', 'Director, Episode Director, Storyboard, Animation Director, Chief Animation Director'], ['Aketagawa, Jin', 'Sound Director'], ['Yonezawa, Madoka', 'Theme Song Performance, Inserted Song Performance']]
