animeTitle	Hakata Mentai! Pirikarako-chan
animeType	TV
animeNumEpisode	12
releaseDate	2019-07-07 00:00:00
endDate	2019-09-22 00:00:00
animeNumMembers	
animeScore	5.11
animeUsers	965
animeRank	
animePopularity	8776
animeDescription	"A daily eating life happening at a street that seems like Hakata but not Hakata!?  Fairy of Mentaiko ""Pirikarako-chan"" goes around the street to solve (?)!"
animeRelated	[]
animeCharacters	['Pirikarako-chan', 'Baran-kun', 'Sousuke-ojisan', 'Maya', 'Koharu-obaachan', 'Shitsuji', 'Motsunabe-oyaji', 'Caviar-kun']
animeVoices	['Kouno, Hiyori', 'Horie, Shun', 'Ogata, Kenichi', 'Uchida, Maaya', 'Oi, Marie', 'Miyata, Hironori', 'Chafurin', 'Fujiwara, Natsumi']
animeStaff	[['Ishikawa, Taketomo', 'Director, Character Design'], ['Yamazaki, Shiori', 'Sound Director'], ['Irie, Shingo', 'Script'], ['fumika', 'Theme Song Performance']]
