animeTitle	Ikkitousen: Western Wolves
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	2009
animeRank	
animePopularity	5357
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Ikkitousen: Extravaganza Epoch']
animeCharacters	"[""Kan'u, Unchou"", 'Sonsaku, Hakufu', 'Shuuyu, Koukin', 'Ryuubi, Gentoku', 'Sousou, Moutoku', 'Chouhi, Ekitoku', 'Himiko', 'Ryomou, Shimei', ""Chou'un, Shiryuu"", 'Kakouton, Genjou']"
animeVoices	[]
animeStaff	[['Watanabe, Takashi', 'Director'], ['Satou, Mitsutoshi', 'Director'], ['Sakakibara, Yui', 'Theme Song Performance'], ['Rinshin', 'Character Design']]
