animeTitle	Nanaka 6/17 Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	737
animeRank	
animePopularity	9753
animeDescription	Unaired series episode included in the DVD release.
animeRelated	['Nanaka 6/17']
animeCharacters	['Kirisato, Nanaka', 'Amemiya, Yuriko', 'Nagihara, Nenji', 'Aratama, Kuriko', 'Kirisato, Taizou', 'Arashiyama, Satsuki', 'Arashiyama, Jinpachi']
animeVoices	['Chiba, Chiemi', 'Horie, Yui', 'Suzumura, Kenichi']
animeStaff	[['CooRie', 'Theme Song Performance'], ['Onji, Masayuki', 'Character Design'], ['Yagami, Ken', 'Original Creator']]
