animeTitle	Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14975
animeDescription	23rd Anpanman short movie.
animeRelated	['Sore Ike! Anpanman', 'Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Shokupanman', 'Melonpanna', 'Oji-san, Jam', 'Kokorin']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Shimamoto, Sumi', 'Kanai, Mika', 'Masuoka, Hiroshi', 'Matsuyuki, Yasuko']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Shimada, Michiru', 'Screenplay']]
