animeTitle	b'Super Shiro'
animeType	b'TV'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.04
animeUsers	364
animeRank	
animePopularity	
animeDescription	b'Spin-off series of Crayon Shin-chan franchise, featuring Shiro.  Commemorates 60th Anniversary of TV Asahi.'
animeRelated	[b'Crayon Shin-chan']
animeCharacters	[b'Shiro', b'Nohara, Shinnosuke', b'Nohara, Hiroshi', b'Nohara, Misae', b'Nohara, Himawari', b'Dekapoo']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nChoi, Eun-Young\n\nProducer\n\n', b'\nYuasa, Masaaki\n\nDirector, Script, Planning\n\n', b'\nShimoyama, Tomohisa\n\nDirector\n\n', b'\nOokuma, Akira\n\nSound Director\n\n']
