animeTitle	Higanjima X
animeType	ONA
animeNumEpisode	12
releaseDate	2016-10-15 00:00:00
endDate	2017-03-25 00:00:00
animeNumMembers	794
animeScore	5.77
animeUsers	105
animeRank	9491
animePopularity	11757
animeDescription	"Akira is in the midst of the final battle between the human race and vampires. He only has 47 days until Japan is turned into an island of vampires.

(Source: ANN)"
animeRelated	['Higanjima', 'Higanjima X: Aniki']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
