animeTitle	Genzai Byoto
animeType	OVA
animeNumEpisode	2
releaseDate	1999-06-22 00:00:00
endDate	1999-11-18 00:00:00
animeNumMembers	
animeScore	5.07
animeUsers	262
animeRank	
animePopularity	10963
animeDescription	"After the death of Haruki's mother she is taken by her until now unknown father, Shunkei, to Kazumi hospital. The nurses of this hospital seem to have purged into greed, and show absolute bondage to the doctor. Who made these women change in such a way? And which role plays there Haruki's father? 
"
animeRelated	['Genzai Byoutou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
