animeTitle	Genji
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11369
animeDescription	"Time-traveling lovers Katsumi and Sakura find themselves in the midst of Japan's medieval civil war between the Heike and Genji clans.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Ebata, Katsumi']
animeVoices	['Sasaki, Nozomu']
animeStaff	[['Yasumura, Ryou', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Kouga, Yun', 'Original Creator'], ['Yamamoto, Masafumi', 'Animation Director']]
