animeTitle	b'Terra e... (TV)'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.91
animeUsers	16600
animeRank	
animePopularity	
animeDescription	b'In the future, humans are living on colonized planets and are controlled in every aspect of their life by a system of computers. Evolution has resulted in the birth of people with extraordinary powers. This new race is called Mu. Hated and feared by the humans, the Mu dream of a place to live in peace: Earth\xe2\x80\x94a mystical far away planet\xe2\x80\x94for humanity had to leave their home long ago as pollution and destruction increased and made it impossible to stay there any longer.\n\nJomy is a boy excitedly awaiting his birthday, the day he will enter the world of adults. Yet he knows nothing about the unknown powers sleeping in him and the shared dream of returning to Earth one day.'
animeRelated	[b'Terra e...', b'Terra e... (TV) Specials']
animeCharacters	[b'Soldier Blue', b'Shin, Jomy Marquis', b'Anyan, Keith', b'Physis', b'Matsuka, Jonah', b'Shiroe, Seki Ray', b'Tony', b'Leo', b'Rain', b'Karina']
animeVoices	[b'\nSugita, Tomokazu\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nTakagi, Motoki\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nKomori, Manami\nJapanese\n', b'\nKubo, Sayuri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamasaki, Osamu\n\nDirector, Script, Storyboard\n\n', b'\nKitakubo, Hiroyuki\n\nEpisode Director, Storyboard\n\n', b'\nYanase, Yuuji\n\nEpisode Director, Storyboard\n\n', b'\nHoshino, Makoto\n\nEpisode Director\n\n']
