animeTitle	Oz no Mahoutsukai (1986)
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	762
animeRank	
animePopularity	9289
animeDescription	"Based on The Wonderful Wizard of Oz (1900), The Marvelous Land of Oz, Ozma of Oz, and The Emerald City of Oz (1900-1920) by L. Frank Baum (1856-1919).

(Source: AniDB)"
animeRelated	['Oz no Mahoutsukai']
animeCharacters	['Scarecrow', 'Dorothy', 'Tin Woodman', 'Cowardly Lion', 'Queen of the Field Mice', 'Old Winkie', 'Miss Cuttenclip', 'Wicked Witch of the East', 'General Guph', 'Fuddle']
animeVoices	['Yasuhara, Yoshito', 'Shimamoto, Sumi', 'Kamiyama, Takuzou', 'Nagai, Ichiro', 'Hirano, Fumi', 'Yada, Minoru', 'Ichijou, Miyuki', 'Nozawa, Masako', 'Yanami, Jouji', 'Takagi, Hitoshi']
animeStaff	"[['Saitou, Hiroshi', 'Director, Script'], ['Miyazaki, Akira', 'Script, Storyboard, Screenplay'], [""D'Avena, Cristina"", 'Theme Song Performance'], ['Oosugi, Kumiko', 'Theme Song Performance']]"
