animeTitle	b'Hulaing Babies'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	1121
animeRank	
animePopularity	
animeDescription	b'The anime will center on a group of young girls and their struggle as they aim to become Hula Girls.'
animeRelated	[b'Hulaing Babies Petit', b'Hulaing Babies Aratame: Staying Babies']
animeCharacters	[b'Miku', b'Nagisa', b'Mona', b'Moe', b'Shiina', b'Suzu', b'Fumi', b'Migiwa', b'Natsu', b'Ohara-sensei']
animeVoices	[b'\nItou, Miku\nJapanese\n', b'\nBridcutt, Sarah Emi\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nToyota, Moe\nJapanese\n', b'\nYamaguchi, Rikako\nJapanese\n', b'\nYoshimura, Haruka\nJapanese\n', b'\nSasaki, Mikoi\nJapanese\n', b'\nSoyama, Momoko\nJapanese\n', b'\nHarusaki, Non\nJapanese\n', b'\nKobori, Yurie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAsao, Yoshinori\n\nDirector\n\n', b'\nKoizumi, Kisuke\n\nSound Director\n\n', b'\nAOP\n\nTheme Song Performance\n\n', b'\nOominato, Ryouzou\n\nColor Design, Character Design, Animation Director\n\n']
