animeTitle	Alice in Voodooland
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	441
animeRank	
animePopularity	11672
animeDescription	Music video by Kousuke Sugimoto for the title track Alice In Voodooland by RoughSketch and featuring Aikapin.
animeRelated	[]
animeCharacters	['Queen of Hearts', 'Cheshire Cat', 'White Rabbit', 'Alice', 'Caterpillar', 'Dormouse', 'March Hare', 'Mad Hatter']
animeVoices	[]
animeStaff	[['Sugimoto, Kousuke', 'Director'], ['Carroll, Lewis', 'Original Creator']]
