animeTitle	Sin in the Rain
animeType	OVA
animeNumEpisode	1
releaseDate	2006-03-24 00:00:00
endDate	
animeNumMembers	2767
animeScore	4.84
animeUsers	1203
animeRank	11630
animePopularity	8588
animeDescription	"It is raining in  Tokyo at night. A woman, named Kimura Yu, is caught in the rain. She has had lots of trauma in her life, because her parents were killed, and to make things worse she experiences another tragedy, her reliable councilor, Kanzaki, is killed. But Yu is ""saved"" by a mysterious detective named Takamizawa Kyosuke."
animeRelated	[]
animeCharacters	['Kimura, Yui', 'Takamizawa, Kyosuke']
animeVoices	['Toyoguchi, Megumi', 'Fujiwara, Keiji']
animeStaff	[['Haga, Hitoshi', 'Director'], ['Kitakata, Masami', 'Sound Effects'], ['Ooshita, Kyuuma', 'Character Design']]
