animeTitle	Ao no Exorcist: Ura Ex
animeType	Special
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	33938
animeRank	
animePopularity	1889
animeDescription	Ura Ex, extra short anime included in Blu-ray and the DVD releases of Ao no Exorcist. 
animeRelated	['Ao no Exorcist']
animeCharacters	['Okumura, Rin', 'Pheles, Mephisto', 'Okumura, Yukio', 'Amaimon', 'Moriyama, Shiemi', 'Suguro, Ryuuji', 'Shima, Renzou', 'Kamiki, Izumo', 'Miwa, Konekomaru', 'Kuro']
animeVoices	['Okamoto, Nobuhiko', 'Kamiya, Hiroshi', 'Fukuyama, Jun', 'Kakihara, Tetsuya', 'Hanazawa, Kana', 'Nakai, Kazuya', 'Yusa, Kouji', 'Kitamura, Eri', 'Kaji, Yuki', 'Takagaki, Ayahi']
animeStaff	[['Katou, Kazue', 'Original Creator'], ['Sasaki, Keigo', 'Character Design'], ['David, Alex Von', 'ADR Director']]
