animeTitle	Milkyway
animeType	OVA
animeNumEpisode	2
releaseDate	2003-06-25 00:00:00
endDate	2003-08-25 00:00:00
animeNumMembers	
animeScore	5.55
animeUsers	368
animeRank	
animePopularity	10375
animeDescription	"Based on the hentai PC game of the same name by Witch. A series about a man who owns a cafe called ""Milkyway"" and the group of young women who help him tend it.

(Source: Anime Mikomi)"
animeRelated	['Milkyway']
animeCharacters	['Yuuki, Rin', 'Kousaka, Mayu']
animeVoices	['Imai, Yuka']
animeStaff	[['UNDER17', 'Theme Song Performance'], ['Kuroda, Yousuke', 'Screenplay'], ['Kurata, Hideyuki', 'Screenplay'], ['Senomoto, Hisashi', 'Original Character Design']]
