animeTitle	b'Ulysses 31 Pilot'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	203
animeRank	
animePopularity	
animeDescription	b'Unaired pilot episode for the TV series.'
animeRelated	[b'Uchuu Densetsu Ulysses 31']
animeCharacters	[b'Ulysses', b'Themis', b'Telemachus', b'Nono', b'Noumayos']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nChalopin, Jean\n\nCo-Producer\n\n', b'\nYamamoto, Nizou\n\nBackground Art\n\n']
