animeTitle	Deban Desu Yo! Onigirizu
animeType	TV
animeNumEpisode	6
releaseDate	2015-06-01 00:00:00
endDate	2015-10-31 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14253
animeDescription	"A short series created to commemorate the 25th anniversary of the NECO broadcast channel. It focuses on the backstage chatter and concerts of a band called Onigirizu.

(Source: LiveChart)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
