animeTitle	b'Kikou Keisatsu Metal Jack'
animeType	b'TV'
animeNumEpisode	37
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	142
animeRank	
animePopularity	
animeDescription	"b'Twenty years into the future, a city now called ""Tokyo"" has developed into one of the few world-class high-tech centers, ""Tokyo City."" The main character, Ken Kanzaki, is a young investigator assigned to the criminal investigation section of the Metropolital Police. He is one of the finest sharp shooters in the Police.One day, Ken is ordered to provide security for a party held by for ""Zaizen Konzern,"" a world-class plutocracy.\n\nAll of a sudden, spector robots appear and distrupt the party. Zaizen, a commander-in-chief, is killed and both Ken and Jun. Zaizen\'s son,are fatally injured by the robots. Two of the party\'s guests, an auto-racer, Ryo Aguri,and a wresler, Go Goda, also receive serious injuries. Three severely injured young men are operated upon by scientists from the Metropolitan Police. Several days later, a robot corp led by a mysterious organization called ""Ido"" appears in the floating-town of the Tokyo Bay. But the Police and the Army have no effective strategies to contain them.\n\nAt that moment, three young men attired in mechanical suits enter. They are the very three young men, Ken, Ryo and Go, who have been turned into the cyborg investigators through the operation. They call themselves ""Armored Police Metal Jacks"". ""Metal Jacks,"" dazzlingly switching from ""Jack Suits"" to ""Jack Armors,"" completely demolish the robot corp and achieve victory, thus signals the beginning of the battle between the high-tech criminals and ""Metal Jacks"" with a futuristic ""Tokyo City"" in the background.'"
animeRelated	[]
animeCharacters	[b'Goda, Gou', b'Aguri, Ryo', b'Kanzaki, Ken', b'Troidal']
animeVoices	[b'\nNakamura, Daiki\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nHayami, Show\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nEgami, Kiyoshi\n\nDirector, Storyboard\n\n', b'\nAbe, Hisashi\n\nEpisode Director, Animation Director\n\n', b'\nSuzuki, Yoshio\n\nEpisode Director, Storyboard\n\n', b'\nTakatou, Kazushige\n\nEpisode Director, Storyboard\n\n']
