animeTitle	b'Sarutobi Ecchan'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	183
animeRank	
animePopularity	
animeDescription	b'A strange girl transfers to Mitsuba Elementary School. At first glance, she is a normal student. However, she is a great athlete, and can talk to animals. Accoding to her, she is the 33rd descendant of the great ninja, Sarutobi Sasuke. Futhermoe, her dog, Puku, can talk.\nBecause she doesn\xe2\x80\x99t live in any house, she spends a night at Miko-chan\xe2\x80\x99s room. She is tunred out of the room once. However, because they thank her for extingushig the fire, they let her stay at their house. After that, she makes a name at school.\n\n(Source: AnimeNfo)'
animeRelated	[]
animeCharacters	[b'Etsuko', b'Hakuyuki-sensei']
animeVoices	[b'\nNomura, Michiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOkazaki, Minoru\n\nEpisode Director\n\n', b'\nEndou, Yuuji\n\nEpisode Director\n\n', b'\nIshinomori, Shoutarou\n\nScript\n\n', b'\nMiyazaki, Hayao\n\nKey Animation\n\n']
