animeTitle	Shounen to Sakura
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	200
animeRank	
animePopularity	13283
animeDescription	"In postwar Tokyo, while his mum works, Taichi spends his days alone and misses his dad who was killed in the war. Through his friendship with an old man who tends a seemingly dead cherry tree, Taichi learns about the tree and gradually becomes more positive.

(Source: Treasures of the Heart)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
