animeTitle	b'Alien Alien wo Utattemita'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	461
animeRank	
animePopularity	
animeDescription	b'Music Video of the original Vocaloid song of Nayutan Seijin that is performed by the project band Hello, Happy World! as a collaboration between Bang Dream! and Hatsune Miku.'
animeRelated	[b'BanG Dream!', b'Lost One no Goukoku wo Utattemita', b'Romeo to Cinderella wo Utattemita', b'Karakuri Pierrot wo Utattemita']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
