animeTitle	Di Gi Charat
animeType	TV
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	8358
animeRank	
animePopularity	4020
animeDescription	"Di Gi Charat is a series of shorts created as advertisements for ""Digital Gamers"", a store in Akihabara. The series follows Dejiko, princess of Di Gi Charat planet, and her companions, Puchiko and Gema, as well as Dejiko's rival, Rabi~en~Rose through daily ordeals they encounter while working at Gamers.
Princess Di Gi Charat came from the planet Di Gi Charat given only a cat cap and an outfit to disguise herself. Unfortunately she came with no money, only her guardian Gema and friend Petite Charat. Luckily the three stumbled upon a manager of the store Gamers, who offered them a home if they worked at the store. However Di Gi Charat is a selfish young girl who wishes of becoming a star.

(Source: ANN)"
animeRelated	['Di Gi Charat: Koushiki Comic Anthology', 'Panyo Panyo Di Gi Charat', 'Di Gi Charat Nyo', 'Piyoko ni Omakase pyo!', 'Winter Garden', 'Di Gi Charat: Hoshi no Tabi', 'Di Gi Charat Summer Special 2000', 'Di Gi Charat Ohanami Special', 'Di Gi Charat Natsuyasumi Special', 'Di Gi Charat Christmas Special', 'Di Gi Charat Tsuyu Specials', 'Reiwa no Di Gi Charat']
animeCharacters	['Di Gi Charat', 'Petit Charat', 'Usada, Hikaru', 'Gema', 'Abarenbou', 'Kimura, Takuro', 'Minagawa, Takuro', 'Mishter Manager']
animeVoices	['Sanada, Asami', 'Sawashiro, Miyuki', 'Hikami, Kyouko', 'Kamei, Yoshiko', 'Ueda, Yuuji', 'Okiayu, Ryoutarou', 'Ichijo, Kazuya']
animeStaff	[['Sakurai, Hiroaki', 'Director, Episode Director, Storyboard, Screenplay'], ['Tanaka, Kazuya', 'Sound Director'], ['Sawashiro, Miyuki', 'Theme Song Performance'], ['Okui, Masami', 'Theme Song Performance']]
