animeTitle	b'Kojin Taxi'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	1888
animeRank	
animePopularity	
animeDescription	"b'A cabbie got his kicks by blackmailing, raping, and storing women in his ""collection"" back in his old town. Now he is in a new town with new women. He wants to have sex with them. He picks each girl up many times and follows them around. They do not seem to notice it\'s the same cabbie until it\'s to late, until he gets all his sources and starts to blackmail them. In his new town his first fare was Satsuki, a member of the archery club. He goes on from there to get twins, a swimmer, a cheer leader, and more. \n'"
animeRelated	[]
animeCharacters	[b'Taxi Driver', b'Misaki, Manabe']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKoike, Ahiru\n\nEpisode Director, Storyboard\n\n', b'\nXuse\n\nOriginal Creator\n\n']
