animeTitle	Nanako Kaitai Shinsho
animeType	OVA
animeNumEpisode	6
releaseDate	1999-07-05 00:00:00
endDate	2000-03-24 00:00:00
animeNumMembers	
animeScore	5.54
animeUsers	3963
animeRank	
animePopularity	5346
animeDescription	"Nanako is a an inept apprentice nurse to the brilliant young Dr. Kouji. Now for some reason, Nanako is always being targeted by various elements which makes Nanako wonder if she has done anything wrong. But there are certain secrets to Nanako's past that only Dr. Kouji and his family know about. 
"
animeRelated	[]
animeCharacters	['Shichigusa, Nanako', 'Ogami, Kyouji', 'Mizuki, Alan', 'Komanechi', 'Ueda, Genki', 'Saint']
animeVoices	['Yamamoto, Maria', 'Koyasu, Takehito', 'Nishimura, Chinami', 'Ugaki, Hidenari', 'Seki, Tomokazu']
animeStaff	[['Ueda, Yasuyuki', 'Producer'], ['Negishi, Hiroshi', 'Director'], ['Yamamoto, Maria', 'Theme Song Performance'], ['Negishi, Takayuki', 'Music']]
