animeTitle	Boruto: Jump Festa 2016 Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	5393
animeRank	
animePopularity	4824
animeDescription	The special anime adaptation of Boruto will be screening at Shueisha’s by-invitation anime event Jump Special Anime Festa 2016!
animeRelated	['Boruto: Naruto Next Generations']
animeCharacters	['Uzumaki, Boruto', 'Uchiha, Sarada', 'Mitsuki', 'Uzumaki, Naruto', 'Sarutobi, Konohamaru', 'Akimichi, Chouji', 'Nara, Shikadai', 'Akimichi, Chouchou', 'Yamanaka, Inojin', 'Akimichi, Choubee']
animeVoices	['Sanpei, Yuuko', 'Kikuchi, Kokoro', 'Kijima, Ryuuichi', 'Takeuchi, Junko', 'Takahashi, Hidenori', 'Itou, Kentarou', 'Ono, Kensho', 'Shiraishi, Ryouko', 'Abe, Atsushi', 'Gotou, Kousuke']
animeStaff	[]
