animeTitle	Chitose Get You!!
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	8366
animeRank	
animePopularity	4089
animeDescription	Chitose is an 11-year-old girl who is madly in love with an older guy named Hiroshi. He works at the town hall right next to the school and Chitose spends every day relentlessly pursuing him. Can Chitose ever convince Hiroshi to go out with her? 
animeRelated	['Chitose Get You!!', 'Asako Get You!!']
animeCharacters	['Sakuraba, Chitose', 'Kashiwabara, Hiroshi', 'Hiiragi, Hinako', 'Fuji, Asako', 'Kashiwabara, Mika', 'Shige-san', 'Kouhai-sensei', 'Misaki']
animeVoices	['Nakaya, Sayaka', 'Hatano, Wataru', 'Mako', 'Mitsuishi, Kotono', 'Akesaka, Satomi', 'Tsuji, Shinpachi', 'Yamaguchi, Rikako', 'Tokui, Sora']
animeStaff	[['Kawazoe, Kengo', 'Sound Director'], ['Tokui, Sora', 'Theme Song Performance'], ['Mako', 'Theme Song Performance'], ['Nakaya, Sayaka', 'Theme Song Performance']]
