animeTitle	Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	388
animeRank	
animePopularity	10623
animeDescription	"Unable to entertain their princess Puruah, the kingdom of Yapaya requests professor Senbei to create a comedic robot capable of making her laugh for the first time in her life.

(Source: ANN)"
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	['Norimaki, Arale', 'Norimaki, Senbei', 'Son, Gokuu', 'Yajirobe', 'Mai', 'Karin', 'Oolong', 'Pilaf', 'Suppaman', 'Shuu']
animeVoices	['Koyama, Mami', 'Furuya, Toru']
animeStaff	"[['Hashimoto, Mitsuo', 'Director'], [""Koorogi '73"", 'Theme Song Performance'], ['Takashima, Akihiko', 'Theme Song Arrangement'], ['Toriyama, Akira', 'Original Creator']]"
