animeTitle	Mouretsu 50 Ototarou
animeType	ONA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17783
animeDescription	A short web series to celebrate the 50th anniversary of Akatsuka Fujio's  gag manga Mouretsu Atarou. The episodes were posted to the official Akatsuka Fujio website and Twitter account.
animeRelated	['Mouretsu Atarou', 'Mouretsu Atarou (1990)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
