animeTitle	"b""I''s Pure Bonus"""
animeType	b'Special'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	3220
animeRank	
animePopularity	
animeDescription	b'5 Dream Sequences, dubbed his Delusions. Wet dreams from the imagination of a healthy young male.'
animeRelated	"[b""I''s"", b""I''s Pure""]"
animeCharacters	[b'Yoshizuki, Iori', b'Seto, Ichitaka', b'Isozaki, Izumi', b'Akiba, Itsuki', b'Teratani, Yasumasa']
animeVoices	[b'\nItou, Shizuka\nJapanese\n', b'\nNomura, Katsuhito\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nNakase, Asuka\nJapanese\n', b'\nKobushi, Nobuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatsura, Masakazu\n\nOriginal Creator\n\n', b'\nMOKA\xe2\x98\x86\n\nMusic\n\n']
