animeTitle	Taiyou no Yuusha Fighbird
animeType	TV
animeNumEpisode	48
releaseDate	1991-02-02 00:00:00
endDate	1992-02-01 00:00:00
animeNumMembers	2862
animeScore	6.74
animeUsers	446
animeRank	4917
animePopularity	8509
animeDescription	"An evil alien life form, Dryus, assaulted the Earth. The leader of Space Patrol, Fighbird, pursed Dryus to the Earth. Fighbird combined with an android that Dr. Amano was developing. Fighbird named Hidori Ryutaro and fight against Dryus to protect the peace of the Earth. 

At first look, he was a normal person, but because he was an alien, Fibird, his acts were a bit away from the normal persons'. Usually, he worked for Dr. Amano as an assistant. He looked uncouth always wearing while coat and glasses. However, once enemy appears, his personality changed dramatically.

(Source: AnimeNfo)"
animeRelated	['Yuusha-Ou GaoGaiGar', 'Densetsu no Yuusha Da Garn', 'Yuusha Exkaiser', 'Yuusha Tokkyuu Might Gaine', 'Yuusha Shirei Dagwon', 'Yuusha Keisatsu J-Decker', 'Ougon Yuusha Goldran']
animeCharacters	['Katori, Yuutarou', 'Amano, Haruka', 'Guard Star', 'Amano, Kenta', 'Amano, Hiroshi', 'Yamazaki, Momoko ']
animeVoices	['Matsumoto, Yasunori', 'Iwatsubo, Rie', 'Ikura, Kazue', 'Nagai, Ichiro', 'Koujiro, Chie']
animeStaff	[['Yatabe, Katsuyoshi', 'Director'], ['Chiba, Kouichi', 'Sound Director'], ['Takamatsu, Shinji', 'Episode Director'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard']]
