animeTitle	b'Mashin Eiyuuden Wataru 2'
animeType	b'TV'
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	316
animeRank	
animePopularity	
animeDescription	"b""This is the sequel to Mashin Eiyuden Wataru first season. \n\nWataru has been lived happily on earth after he defeated Doakudar. When he plays around with his friend, Ryujinmaru appears and ask him to fight again. It appears that the 7 Stars Mountain, the source of Mt. Soukai's rainbow, have been taken over by Doakadar (Doakudar's brother). If all the stars mountain loses their brightness, Mt. Soukai's rainbow will fade and everyone will live in the darkness for eternity. Once again, Wataru has to go through all the 7 stars system and destroy this new stronger enemy. """
animeRelated	[b'Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari', b'Shin Mashin Eiyuuden Wataru Majinzan']
animeCharacters	[b'Shinobibe, Himiko', b'Ikusabe, Wataru', b'Tsurugibe, Shibaraku', b'Ryuujinmaru']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIuchi, Shuji\n\nDirector, Script, Storyboard\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nKoumoto, Shougo\n\nEpisode Director, Storyboard\n\n', b'\nTakahashi, Ryousuke\n\nScript\n\n']
