animeTitle	Juusen Battle Monsuno
animeType	TV
animeNumEpisode	52
releaseDate	2012-10-03 00:00:00
endDate	2013-09-25 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	2455
animeRank	
animePopularity	6265
animeDescription	"Chase Suno and his friends, Jinja and Bren, are on a search for Chase's father, Jeredy Suno. However, they soon become involved in something else upon reaching their father's lab and becoming involved with an organism known as Monsuno. Chase, choosing to side with his father's work, denies S.T.O.R.M. access to the Monsuno and escapes. They are now on the run from the military organization, S.T.O.R.M., while still looking for Chase's father. However, a mysterious organization also has his eyes set on Chase and the group's Monsuno. 

(Source: Animeultima) "
animeRelated	['']
animeCharacters	['Suno, Chase', 'Jinja', 'Bren', 'Beyal', 'Ace, Jon', 'Dax', 'Klipse, Emmanuel', 'Suno, Jeredy', 'Medea']
animeVoices	['KENN', 'Tano, Asami', 'Suzuki, Chihiro', 'Kokuryu, Sachi', 'Shimozaki, Hiroshi', 'Iwasaki, Masami', 'Fujiwara, Keiji']
animeStaff	[['Okumura, Yoshiaki', 'Director'], ['Andou, Ken', 'Episode Director'], ['Hashiguchi, Yousuke', 'Episode Director'], ['Kawakubo, Keiji', 'Episode Director, Key Animation']]
