animeTitle	Daze
animeType	Music
animeNumEpisode	1
releaseDate	2014-05-29 00:00:00
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	3427
animeRank	
animePopularity	6440
animeDescription	"daze  is the opening theme of Mekakucity Actors performed by MARiA from GARNiDELiA. The song was composed by Shizen no Teki-P (a.k.a. Jin) and a PV for the anime was illustrated and directed by Shidu. The full song was released on May 29, 2014 by Jin.

(Source: Kagerou Project Wikia)"
animeRelated	['Mekakucity Actors', 'Days']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
