animeTitle	Karneval (TV)
animeType	TV
animeNumEpisode	13
releaseDate	2013-04-04 00:00:00
endDate	2013-06-27 00:00:00
animeNumMembers	
animeScore	7.11
animeUsers	78596
animeRank	
animePopularity	926
animeDescription	"While in search of his precious friend, a young boy named Nai falls captive to a beautiful woman, whose looks are matched only by her taste for human flesh. Meanwhile Gareki, a clever thief, is in the midst of robbing her luxurious home. After causing a distraction, Gareki agrees to help Nai escape, but they are discovered upon the woman's return. As she transforms into a ghoulish monster, the boys flee.

On the run, Nai and Gareki are found by ""Circus,"" a government defense agency that deals with criminal activity too difficult for the police to handle and protects civilians from ""varuga""—terrible monsters that devour humans for sustenance. In the hope that it will lead Nai to his missing friend, he and Gareki decide to join Circus. On their perilous journey, they face dangerous varuga and begin to uncover the secrets behind a shadowy organization known as Kafka.

[Written by MAL Rewrite]"
animeRelated	['Karneval', 'Karneval Specials']
animeCharacters	['Gareki', 'Yogi', 'Nai', 'Tsukumo', 'Hirato', 'Dezart, Akari', 'Arumerita, Karoku', 'Tsukitachi', 'Jiki', 'Kiichi']
animeVoices	['Kamiya, Hiroshi', 'Miyano, Mamoru', 'Shimono, Hiro', 'Endou, Aya', 'Ono, Daisuke', 'Hirakawa, Daisuke', 'Hoshi, Souichirou', 'Yusa, Kouji', 'Nakamura, Yuuichi', 'Kitamura, Eri']
animeStaff	[['Suganuma, Eiji', 'Director, Storyboard, Animation Director, Key Animation'], ['Yano, Satoshi', 'Sound Director'], ['Nishikata, Yasuto', 'Storyboard'], ['GRANRODEO', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement']]
