animeTitle	b'Waixingren Shi Riji'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The president of the ""Astronomy Club"", Di Qiuren, leads the members of the club to track down aliens, but they have been unsuccessful so far. What Qiuren doesn\'t know is that all of the members are aliens. On one side is the alien stalker who never gives up, and on the other side are the aliens disguised as members of the astronomy club! In order to conceal their identities, the aliens try to learn and understand the behavior of earthlings. A funny school life with them and Di Qiuren is about to unfold.\n\n(Source: bilibili, translated)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
