animeTitle	Cinderella Boy
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	2344
animeRank	
animePopularity	6351
animeDescription	"Ranma and his partner Rera run a detective agency in Giraffe City. An arranged accident leaves Rera and Ranma in an unfortunate state where the two detectives swap bodies at the stroke of midnight. With Ranma dissapearing and the beautiful Rera appearing. 

(Source: ANN)"
animeRelated	['Cinderella Boy']
animeCharacters	['Hinamatsuri, Ranma', 'Shirayuki, Rella Cindy', 'Alice', 'Son, Tai Jin', 'Dorothy']
animeVoices	['Koyasu, Takehito', 'Touma, Yumi', 'Inoue, Kikuko', 'Chafurin', 'Hori, Junko']
animeStaff	[['Tominaga, Tsuneo', 'Director'], ['Takahashi, Hideo', 'Sound Director'], ['Tsuchiya, Michihiro', 'Script'], ['Suenaga, Mitsuyo', 'Script']]
