animeTitle	b'Hitozuma Cosplay Kissa'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	1685
animeRank	
animePopularity	
animeDescription	"b""There's a coffee shop that attracts a lot of customers, but not because of the coffee, but because of the waitresses who are all married women wearing outfits that normal waitresses wouldn't wear. \n\nBut the story focuses more on the love life of Asahina Tomoya who's the temporary owner of the coffee shop. \n\n(Source: AniDB)"""
animeRelated	[b'Hitozuma Cosplay Kissa', b'Hitozuma Cosplay Kissa 2: Hitozuma LoveLove - Cosplay OVA']
animeCharacters	[b'Seia', b'Asahina, Tomoya', b'Akiho', b'Ryoka', b'Kanae', b'Noel']
animeVoices	[b'\nArai, Shizuka\nJapanese\n', b'\nFujisaki, Kaori\nJapanese\n', b'\nAsai, Harumi\nJapanese\n', b'\nNagasaki, Minami\nJapanese\n', b'\nKajita, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAtelier Kaguya\n\nOriginal Creator\n\n', b'\nM-and-M\n\nOriginal Character Design\n\n']
