animeTitle	Iketeru Futari
animeType	TV
animeNumEpisode	16
releaseDate	1999-02-02 00:00:00
endDate	1999-02-26 00:00:00
animeNumMembers	17263
animeScore	6.6
animeUsers	8513
animeRank	5594
animePopularity	4266
animeDescription	"16-year old Keisuke Saji loves to fantasize about young beautiful women. He hopes to land the object of his affection, Koizumi Akira. However, Koizumi hates Saji (as well as all men) to the point of assault. While most guys take Koizumi's cold shoulder as a hint, Saji pursues head-on without having rejection faze him.

(Source: Wikipedia)"
animeRelated	['Iketeru Futari']
animeCharacters	['Koizumi, Akira', 'Saji, Keisuke', 'Umemiya, Yuuki', 'Asamiya', 'Saji, Mother', 'Saji, Father', 'Erika', 'Emi', 'Kuroki, Satoshi', 'Urawa, Katsunori']
animeVoices	['Araki, Kae', 'Shibuya, Shigeru', 'Yamada, Miho', 'rino', 'Suzuki, Takuma', 'Yonekura, Aya', 'Kasai, Ritsuko', 'Ichijo, Kazuya', 'Matsuda, Yuki']
animeStaff	[['Tanaka, Kazuya', 'Sound Director'], ['Okamoto, Hideki', 'Episode Director'], ['Asakura, Daisuke', 'Theme Song Composition'], ['MOKA☆', 'Music']]
