animeTitle	Ashita no Joe (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1980-03-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	1532
animeRank	
animePopularity	7218
animeDescription	"An abridged remake of the first Ashita no Joe TV series, released in 1980 to provide back-story for the second TV series to new fans who were not familiar with the first TV series or the manga.

(Source: ANN)"
animeRelated	['Ashita no Joe']
animeCharacters	['Yabuki, Joe', 'Rikiishi, Tooru', 'Tange, Danpei', 'Shiraki, Yoko', 'Sachi', 'Nishi, Kanichi', 'Kanagushi, Wolf', 'Hayashi, Noriko', 'Shiraki, Mikinosuke']
animeVoices	['Aoi, Teruhiko', 'Hosokawa, Toshiyuki', 'Fujioka, Juukei', 'Dan, Fumi', 'Shiraishi, Fuyumi', 'Shirou, Kishibe', 'Ooki, Tamio']
animeStaff	[['Dezaki, Osamu', 'Director'], ['Kajiwara, Ikki', 'Original Creator'], ['Chiba, Tetsuya', 'Original Creator'], ['Araki, Shingo', 'Animation Director']]
