animeTitle	Shinrabanshou: Tenchi Shinmei no Shou
animeType	ONA
animeNumEpisode	1
releaseDate	2014-06-29 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12076
animeDescription	"The ONA produced to celebrate the 10th anniversary of Shinra Bansho Choco from Bandai.

Shinra Bansho Choco is a chocolate biscuit sandwich brand that includes a card that features characters of the Gods.

(Source: MAL)"
animeRelated	[]
animeCharacters	['Mobius', 'Saiga', 'Balunseal', 'Arc', 'Shizuku', 'Polaris', 'Arcana', 'Sai', 'Makishiusu', 'Sirius']
animeVoices	['Kamiya, Hiroshi', 'Midorikawa, Hikaru', 'Minagawa, Junko', 'Murase, Ayumu', 'Sawashiro, Miyuki', 'Fujimura, Ayumi', 'Sakura, Ayane', 'Shimono, Hiro', 'Ono, Yuuki', 'Takatsuka, Masaya']
animeStaff	[['Yoshitake, Masato', 'Editing'], ['Matsumoto, Katsuki', 'Background Art'], ['Tayama, Osamu', 'Art Director'], ['Teramoto, Yuuki', 'Director of Photography']]
