animeTitle	b'Suika'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	1913
animeRank	
animePopularity	
animeDescription	"b""Dramatic Tension leads to sexual release! Sayaka Shirakawa is the daughter of an art professor who specializes in death-themed paintings. She is dating one of his students, Souji Kamishiro. For some reason, Sayaka seems to be harboring hatred for her father. One day, Mie Wakabayashi, who has romantic feelings for Souji, tells him what she's heard about the Professor: that he has been killing his models so that he can paint their corpses. Meanwhile, Mie happens to witness Shirakawa purchasing poison, and she runs to find Sayaka... \n\n(Source: AniDB) """
animeRelated	[b'Suika', b'Suika: Manatsu no Okurimono']
animeCharacters	[b'Minase, Itsuki', b'Nanashi', b'Kazama, Akira', b'Inaba, Hiroshi', b'Kamishiro, Souji', b'Shirakawa, Sayaka', b'Wakabayashi, Mie', b'Minase, Sayo', b'Inaba, Chitose', b'Chinatsu']
animeVoices	[b'\nNagasaki, Minami\nJapanese\n', b'\nNakata, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKikuchi, Yasuhito\n\nProducer, Director, Storyboard\n\n', b'\nNanao, Naru\n\nOriginal Character Design\n\n', b'\nCircus\n\nOriginal Creator, Production Coordination\n\n', b'\nOota, Kazuhiro\n\nCharacter Design, Animation Director\n\n']
