animeTitle	Happy☆Lesson (TV)
animeType	TV
animeNumEpisode	13
releaseDate	2002-04-01 00:00:00
endDate	2002-06-30 00:00:00
animeNumMembers	25127
animeScore	6.64
animeUsers	10842
animeRank	5379
animePopularity	3593
animeDescription	"Hitotose Chitose was always alone and untrusting of people but when 5 female teachers appear and started living together with him in his family's house as his mothers, things started to change and pick up, together with Hazuki-nee and Minazuki (his 2 sisters) everyday is a lesson. 

(Source: ANN)"
animeRelated	['Happy★Lesson: Mama Sensei wa Saikou!', 'Happy☆Lesson', 'Happy☆Lesson: Advance', 'Happy☆Lesson: Hoka Hoka★Kanna to Futari Kiri']
animeCharacters	['Ninomai, Kisaragi', 'Ichimonji, Mutsuki', 'Hitotose, Chitose', 'Sanzenin, Yayoi', 'Shitenno, Uzuki', 'Gokajou, Satsuki', 'Togakushi, Kanna', 'Rokumatsuri, Minazuki', 'Yazakura, Hazuki', 'Nanakorobi, Fumitsuki']
animeVoices	['Kimura, Akiko', 'Asano, Ruri', 'Kishio, Daisuke', 'Inoue, Kikuko', 'Koyama, Kimiko', 'Sasajima, Kaoru', 'Nakagawa, Akiko', 'Mizuki, Nana', 'Sonozaki, Mie', 'Shima, Ryouka']
animeStaff	[['Suzuki, Iku', 'Director'], ['Nakanishi, Nobuaki', 'Episode Director, Storyboard'], ['Yoshioka, Takao', 'Script'], ['Yoshinaga, Naoyuki', 'Storyboard']]
