animeTitle	b'Metal Fight Beyblade'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	46856
animeRank	
animePopularity	
animeDescription	b'A new cast of characters take on the continued battle between good and evil. Ginga, our hero, and his group of loyal friends take on a dangerous group called the Dark Nebula. The Dark Nebula\xe2\x80\x99s sole mission is to take over the world and unleash their evil upon it; but before they can do so, they must destroy Ginga as he is the only person that\xe2\x80\x99s strong enough to stand in their way. The plot thickens as friends become enemies and enemies become allies. Everything starts and ends with Ginga as he struggles to find the strength to defend his world and the honor of Beyblade.\n\n(Source: Beyblade.com)'
animeRelated	[b'Metal Fight Beyblade', b'Bakuten Shoot Beyblade', b'Metal Fight Beyblade: Baku']
animeCharacters	[b'Hagane, Ginga', b'Tategami, Kyouya', b'Yumiya, Kenta', b'Amano, Madoka', b'Ryuuga', b'Ootori, Tsubasa', b'Tendou, Yuu', b'Mizuchi, Reiji', b'Watarigani, Tetsuya', b'Hyoma']
animeVoices	[b'\nKanada, Aki\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nShindou, Kei\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nIrino, Miyu\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSugishima, Kunihisa\n\nDirector\n\n', b'\nMatsuoka, Hiroki\n\nSound Director\n\n', b'\nOdaka, Yoshinori\n\nEpisode Director\n\n', b'\nKawaguchi, Keiichirou\n\nStoryboard\n\n']
