animeTitle	Ashita e Free Kick
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	611
animeRank	
animePopularity	9602
animeDescription	Shun Godai is a young boy who likes soccer. But his grandfather, a successful businessman, want his grandson to follow his path...
animeRelated	[]
animeCharacters	['Godai, Shun', 'Mascowitz, Jose', 'Aritaka, Mizuho', 'Henderson, Carl', 'Toto', 'Morita, Mirei', 'Bazettini, Roberto', 'Randou, Shin', 'Green, Abe', 'Becken, Chris']
animeVoices	['Kusao, Takeshi', 'Takagi, Wataru', 'Amano, Yuri', 'Ishino, Ryuuzou', 'Yamaguchi, Kappei', 'Orikasa, Ai', 'Sasaki, Nozomu', 'Koyasu, Takehito', 'Iwanaga, Tetsuya', 'Kosugi, Juurouta']
animeStaff	"[['Amino, Tetsuro', 'Director'], ['Itou, Naoyuki', 'Episode Director, Animation Director'], ['Kato, Takao', 'Episode Director, Storyboard'], [""D'Avena, Cristina"", 'Theme Song Performance']]"
