animeTitle	Star Ocean EX
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	5237
animeRank	
animePopularity	4962
animeDescription	"Claude C. Kenni, a crewmember on the spaceship Calnus and son of the commander of the ship, is transported to Expel, a backwards planet with swords and magic. He teams up with Rena Lanford, who thinks he is the legendary Warrior of Light, and other characters to investigate the Sorcery Globe, a meteorite that has been causing problems all over the world. 

(Source: ANN)"
animeRelated	['Star Ocean: The Second Story', 'Star Ocean: Anamnesis']
animeCharacters	['Anchors, Ashton', 'Lanford, Rena', 'C. Kenni, Crawd', 'Jules, Celine', 'Flac, Dias', 'Vectra, Opera', 'Jean, Bowman', 'D.S. Geeste, Leon', 'Ururun', 'Yuki']
animeVoices	['Seki, Tomokazu', 'Iizuka, Mayumi', 'Yuuki, Hiro', 'Kingetsu, Mami', 'Koyasu, Takehito', 'Matsumoto, Rica', 'Nakata, Jouji', 'Mitsuhashi, Kanako', 'Shimura, Tomoyuki', 'Matsumoto, Megumi']
animeStaff	[['Yoshida, Shunji', 'Director'], ['Watanabe, Hiroshi', 'Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Kamitsubo, Ryouki', 'Episode Director']]
