animeTitle	Tayu Tayu
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	4044
animeRank	
animePopularity	5144
animeDescription	"Tayu Tayu is an anime adaptation of the adult manga of the same name by Yamatogawa.

Since his parents moved abroad for business, Reiji was forced to live at his old place in the country side. When he decided to enjoy an open air bath, two female childhood friends notice him. That's where the story begins...

(Source: BakaBT, edited)"
animeRelated	['Tayu Tayu']
animeCharacters	['Amane, Shiho', 'Amane, Midori', 'Tokiwa, Reiji', 'Takamine, Chisa ', 'Kaji, Haruka ', 'Kaji, Sayaka ']
animeVoices	['Jinbo, Tomoe', 'Sanada, Akane', 'Ookawa, Tooru', 'Mizuguchi, Matsuri']
animeStaff	[['Yamatogawa', 'Original Creator'], ['Shinkai, Kouki', 'Editing'], ['Kasumi, Kyouka', 'Director of Photography']]
