animeTitle	Fate/Apocrypha
animeType	TV
animeNumEpisode	25
releaseDate	2017-07-02 00:00:00
endDate	2017-12-31 00:00:00
animeNumMembers	
animeScore	7.17
animeUsers	195847
animeRank	
animePopularity	416
animeDescription	"The Holy Grail is a powerful, ancient relic capable of granting any wish the beholder desires. In order to obtain this power, various magi known as ""masters"" summon legendary Heroic Spirits called ""servants"" to fight for them in a destructive battle royale—the Holy Grail War. Only the last master-servant pair standing may claim the Grail for themselves. Yet, the third war ended inconclusively, as the Grail mysteriously disappeared following the conflict.

Many years later, the magi clan Yggdmillennia announces its possession of the Holy Grail, and intends to leave the Mage's Association. In response, the Association sends 50 elite magi to retrieve the Grail; however, all but one are killed by an unknown servant. The lone survivor is used as a messenger to convey Yggdmillennia's declaration of war on the Association.

As there are only two parties involved in the conflict, the Holy Grail War takes on an unusual form. Yggdmillennia and the Mage's Association will each deploy seven master-servant pairs, and the side that loses all its combatants first will forfeit the artifact. As the 14 masters summon their servants and assemble on the battlefield, the magical world shivers in anticipation with the rise of the Great Holy Grail War.

[Written by MAL Rewrite]"
animeRelated	['Fate/Apocrypha', 'Fate/Apocrypha Recaps']
animeCharacters	['Ruler', 'Sieg', 'Saber', 'Kuro no Rider', 'Aka no Saber', 'Velvet, Waver', 'Aka no Lancer', 'Merlin', 'Aka no Archer', 'Caster']
animeVoices	['Sakamoto, Maaya', 'Hanae, Natsuki', 'Kawasumi, Ayako', 'Ookubo, Rumi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Yusa, Kouji', 'Sakurai, Takahiro', 'Hayami, Saori', 'Tsuruoka, Satoshi']
animeStaff	[['Asai, Yoshiyuki', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Monma, Kazuya', 'Episode Director'], ['Kodachi, Ukyou', 'Script']]
