animeTitle	Decorator
animeType	Music
animeNumEpisode	1
releaseDate	2014-02-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	1126
animeRank	
animePopularity	9587
animeDescription	livetune feat. Hatsune Miku「DECORATOR」Music Video
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['wakamuraP', 'Director'], ['Hatsune, Miku', 'Theme Song Performance'], ['kz', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement']]
