animeTitle	Aikatsu on Parade! (ONA)
animeType	ONA
animeNumEpisode	6
releaseDate	2020-03-28 00:00:00
endDate	2020-07-11 00:00:00
animeNumMembers	
animeScore	6.57
animeUsers	521
animeRank	
animePopularity	10289
animeDescription	"""Dream School Grand Prix"" to decide the No.1 idol school among five schools representing the Aikatsu world will be held! In this competition where top idols representing each school compete on stage, Dream Academy's new idol Noel Otoshiro is selected as one of them?! For each idol's dream, a new story starts running into the shining future! 

(Source: Crunchyroll)"
animeRelated	['Aikatsu!', 'Aikatsu Stars!', 'Aikatsu Friends!: Kagayaki no Jewel', 'Aikatsu on Parade!']
animeCharacters	['Kiseki, Raki', 'Otoshiro, Noel']
animeVoices	[]
animeStaff	[['onetrap', 'Music'], ['Koyama, Kenji', 'Sound Effects']]
