animeTitle	Calimero
animeType	TV
animeNumEpisode	45
releaseDate	1974-10-15 00:00:00
endDate	1975-09-30 00:00:00
animeNumMembers	3677
animeScore	6.23
animeUsers	1741
animeRank	7547
animePopularity	7855
animeDescription	"Calimero is a small black bird who has a shell on his head; his dream is to fly like the other birds. When he tries to fly and screws up he is teased by the other birds, but his girlfriend Pricilla is there to cheer him up. Despite his appearance, he is quite smart and thinks up an idea to fly.

(Source: ANN)"
animeRelated	['Shin Calimero']
animeCharacters	['Calimero', 'Priscilla', 'Professor Owl', 'Jobatta, Peter']
animeVoices	['Miwa, Katsue', 'Nomura, Michiko', 'Yanami, Jouji', 'Kimotsuki, Kaneta']
animeStaff	[['Tamiya, Takeshi', 'Director'], ['Serikawa, Yuugo', 'Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Komori, Akihiro', 'Theme Song Arrangement']]
