animeTitle	Train Heroes
animeType	TV
animeNumEpisode	26
releaseDate	2013-04-02 00:00:00
endDate	2013-09-26 00:00:00
animeNumMembers	392
animeScore	
animeUsers	
animeRank	13935
animePopularity	13634
animeDescription	"2100A.D. The world has entered a new age of super high-speed railways. The World Railway Conference has introduced the Laser Rail, a whole new form of travel in which trains are no longer confined to the ground.

To operate on the Laser Rail, the Train Base is established. Here, trains from across the globe, installed with artificial intelligences and robot bodies. Thus the Train Heroes are born.

Within the Train Base, these Train Heroes undergo strict training sessions. On occasion, they are called upon to assist in disaster rescue and relief.

(Source: AniDB)"
animeRelated	['Train Heroes Movie']
animeCharacters	['Eight', 'Sam', 'Arl', 'Gou', 'Instructor Neel', 'Ann', 'Narrator']
animeVoices	['Tanaka, Hideki', 'Okitsu, Kazuyuki', 'Namikawa, Daisuke', 'Ono, Daisuke', 'Urayama, Jin', 'Togashi, Misuzu', 'Ochiai, Kouji']
animeStaff	[['Dawa dolma, Alan', 'Theme Song Performance']]
