animeTitle	Amefuri Kozou
animeType	OVA
animeNumEpisode	1
releaseDate	1983-12-24 00:00:00
endDate	
animeNumMembers	1537
animeScore	6.16
animeUsers	753
animeRank	7852
animePopularity	10114
animeDescription	"This is the second story of ""The Lion Books"" series. A boy meets a lonely little umbrella ghost wearing Geta. He promises the ghost that he will give it a pair of rain boots in exchange for three wishes. The boy, however, grows up completely forgetting the promise. One day, when he happens to remember the ghost, he rushes back to that bridge in his hometown, to the Rain Boy...This is a moving, sweet hometown fantasy about a gentle ghost and a forgotten promise. 

(Source: AniDB)"
animeRelated	['Lion Books', 'Adachi-ga Hara', 'Yamatarou Kaeru', 'Midori no Neko', 'Akuemon', 'Lunn wa Kaze no Naka']
animeCharacters	['Rain Boy']
animeVoices	['Hori, Junko']
animeStaff	[['Tezuka, Osamu', 'Director'], ['Koroku, Reijirou', 'Music'], ['Maekawa, Takashi', 'Special Effects'], ['Seya, Shinji', 'Animation Check, Key Animation']]
