animeTitle	Capsule Boy
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16558
animeDescription	6.5-centimeter tall Degirdians fall to Earth in their spacecraft while chasing fugitives. Their spaceship transforms into a capsule toy stand near a toy store and a human boy accidentally takes home one of the aliens thinking it's a capsule toy. They befriend a human boy and try to figure out a way to get home all while fighting off the evil alien.
animeRelated	['Capsule Boy 2: Ujuleul Jikyeola']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
