animeTitle	Soukihei MD Geist
animeType	OVA
animeNumEpisode	1
releaseDate	1986-05-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	6728
animeRank	
animePopularity	4642
animeDescription	"In the distant future, mankind has colonized other planets in the universe. While many planets lived in peace, the planet Jerra has been ravaged by decades of war. Geist is an M.D.S. (Most Dangerous Soldier), an enhanced human with unsurpassed combat capabilities and an insatiable lust for battle. Because of his uncontrollable nature, Geist is cryogenically frozen and locked in a satellite. Several years later, the satellite crashes and Geist wakes up from his sleep to engage in another war. This time, to help the army stop the planet's central computer from activating a doomsday device that will lead to total annihilation of all life on Jerra. 

(Source: ANN)"
animeRelated	['MD Geist II: Death Force']
animeCharacters	['Geist', 'Vaiya', 'Sakamoto', 'Hans', 'Mash', 'Golem', 'Kurtz']
animeVoices	['Wakamoto, Norio', 'Matsumoto, Rica', 'Chiba, Isshin', 'Fujiwara, Keiji', 'Seki, Tomokazu', 'Egawa, Hisao', 'Ishizuka, Unshou']
animeStaff	[['Ohata, Koichi', 'Director, Creator, Mechanical Design'], ['Mima, Masafumi', 'Sound Director'], ['Kageyama, Hironobu', 'Theme Song Performance'], ['Kishi, Masayuki', 'Theme Song Composition']]
