animeTitle	b'Chouriki Robo Galatt'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'In a peaceful, disarmed world where small robots are utilized as housekeepers, villains act with huge robots instead of weapons. Dr. Keewee converts Michael\xe2\x80\x99s robot into a transformable one in order to teach them a lesson. This is the birth of Galatt, the town hero.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Pumpkin, Patty', b'Kashmir Jr., Kamil', b'Marsh, Michael', b'Dr. Kiwi']
animeVoices	[b'\nTakamori, Yoshino\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nNakagawa, Katsuhiko\nJapanese\n', b'\nTatsuta, Naoki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHoshiyama, Hiroyuki\n\nScript\n\n', b'\nKoyama, Takao\n\nScript\n\n', b'\nHirano, Yasushi\n\nScript\n\n', b'\nEndo, Akinori\n\nScript\n\n']
