animeTitle	b'Ganbare! Moudouken Serve'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A TV special from December 1988 about a guide dog for the blind called Serv (\xe3\x82\xb5\xe3\x83\xbc\xe3\x83\x96). This dog lived in the real world, and died shortly before the anime production.\n\n(Source: AniDB) '
animeRelated	[b'Moudouken Quill no Isshou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
